,Żułowska
0,Żywiczna Kraków
1,Łobzowska
2,Łuczanowicka
3,Łukasza Cieplińskiego
4,Łukasza Górnickiego
5,Łukasza Opalińskiego
6,Abrahama
7,Adama Asnyka
8,Adama Chmiela
9,Adama Chmielowskiego
10,Adama Ciołkosza
11,Adama Habeli
12,Adama Krzyżanowskiego
13,Adama Marczyńskiego
14,Adama Próchnika
15,Adama Prażmowskiego
16,Adama Rysiewicza
17,Adama Staszczyka
18,Adolfa Aleksandrowicza
19,Adolfa Nowaczyńskiego
20,Adriana Baranieckiego
21,Agatowa
22,Agawy
23,Agrestowa
24,Akacjowa
25,Akademicka
26,Albańska
27,Albatrosów
28,Alberta Schweitzera
29,Aleja 29 Listopada
30,aleja 3 Maja
31,aleja Jana Pawła II
32,aleja Jerzego Waszyngtona
33,aleja Juliusza Słowackiego
34,aleja Jurajska
35,aleja Mieczysława Małeckiego
36,aleja Modrzewiowa
37,aleja Zygmunta Krasińskiego
38,Aleksandra Brücknera
39,Aleksandra Fredry
40,Aleksandra Gryglewskiego
41,Aleksandra Kotsisa
42,Aleksandra Krępy
43,Aleksandra Lubomirskiego
44,Aleksandra Orłowskiego
45,Aleksandra Prystora
46,Aleksandry
47,Alfreda Dauna
48,Algierska
49,Aliny
50,Alojzego Horaka
51,Alojzego Kaczmarczyka
52,Altanowa
53,Amarantowa
54,Amazonek
55,Ambrożego Grabowskiego
56,Andegaweńska
57,Andrieja Sacharowa
58,Andrychowska
59,Andrzeja Badurskiego
60,Andrzeja Frycza-Modrzewskiego
61,Andrzeja Małkowskiego
62,Andrzeja Michalika
63,Andrzeja Mycielskiego
64,Andrzeja Potebni
65,Andrzeja Sokołowskiego
66,Andrzeja Stopki
67,Anieli Krzywoń
68,Anny Jagiellonki
69,Anny Libera
70,Antoniego Augustynka-Wichury
71,Antoniego Dobrowolskiego
72,Antoniego Fertnera
73,Antoniego Gramatyka
74,Antoniego Hoborskiego
75,Antoniego Józefa Madalińskiego
76,Antoniego Kępińskiego
77,Antoniego Kenara
78,Antoniego Odyńca
79,Antoniego Pajdaka
80,Antyczna
81,Anusi
82,Architektów
83,Arcybiskupa Felińskiego
84,Ariańska
85,Arktyczna
86,"Armii ""Kraków"""
87,Armii Krajowej
88,Artura Malawskiego
89,Astronautów
90,Astronomów
91,Świętego Jacka
92,Świętego Jana
93,Świętego Krzyża
94,Świętego Marka
95,Świętego Sebastiana
96,Świętego Tomasza
97,Świętego Wawrzyńca
98,Świętej Agnieszki
99,Świętej Anny
100,Świętej Gertrudy
101,Świętej Katarzyny
102,Świętej Teresy
103,Augustiańska
104,Azaliowa
105,Błażeja Czepca
106,Błękitna
107,Bławatkowa
108,Błotna
109,Błotniska
110,Bór
111,Bałtycka
112,Bażancia
113,Babiego Lata
114,Babinicza
115,Bagatela
116,Bagienna
117,Bagrowa
118,Bajeczna
119,Balanówka
120,Balicka
121,Balladyny
122,Barbary
123,Barbary Radziwiłłówny
124,Bardosa
125,Barska
126,Bartłomieja Groickiego
127,Bartłomieja Nowodworskiego
128,Bartnicza
129,Bartników
130,Bartosza
131,Bartosza Głowackiego
132,Barwinkowa
133,Barwna
134,Barycka
135,Bastionowa
136,Basztowa
137,Batalionów Chłopskich
138,Batalionu “Parasol”
139,Batalionu “Skała” AK
140,Batalionu “Zośka”
141,Batowicka
142,Będzińska
143,Bazarowa
144,Baziaka
145,Bednarska
146,Beera Meiselsa
147,Belwederczyków
148,Benedykta Cesarza
149,Benedykta Dybowskiego
150,Benedyktyńska
151,Berberysowa
152,Berdyczowska
153,Bernardyńska
154,Beskidzka
155,Betlejemska
156,Betonowa
157,Biała
158,Biała Droga
159,Białe Wzgórze
160,Białoprądnicka
161,Białoruska
162,Białostocka
163,Białych Brzóz
164,Bibicka
165,Bieńczycka
166,Bieńczycki Plac Targowy
167,Bieżanowska
168,Bielańska
169,Biernata z Lublina
170,Biesiadna
171,Bieszczadzka
172,Billewiczów
173,Biskupa Franciszka Hodura
174,Biskupa Józefa Gawliny
175,Biskupa Jana Prandoty
176,Biskupia
177,Biskupińska
178,Bożego Ciała
179,Bożywoja
180,Bogumiła Pawłowskiego
181,Bolesława Śmiałego
182,Bolesława Czerwieńskiego
183,Bolesława Komorowskiego
184,Bolesława Kontryma
185,Bolesława Leśmiana
186,Bolesława Limanowskiego
187,Bolesława Prusa
188,Borowinowa
189,Bosacka
190,Brązownicza
191,Braci Jamków
192,Braci Kiemliczów
193,Braci Polskich
194,Braci Schindlerów
195,Bracka
196,Branicka
197,Braterska
198,Braterstwa Broni
199,Bratkowa
200,Bratysławska
201,Brogi
202,Bronisława Czecha
203,Bronisława Malinowskiego
204,Bronisława Pierackiego
205,Bronisława Schönborna
206,Bronowicka
207,Browarniana
208,Bruśnicka
209,Brunona Schulza
210,Bruzdowa
211,Brzask
212,Brzegowa
213,Brzeska
214,Brzozowa
215,Bułgarska
216,Budrysów
217,Budziszyńska
218,Bugaj
219,Bukietowa
220,Bukowa
221,Bukszpanowa
222,Bularnia
223,Bulwarowa
224,Buraczana
225,Burgundzka
226,Bursztynowa
227,Burzowa
228,Butrymów
229,Bystra
230,Bytomska
231,Cechowa
232,Cedrowa
233,Cedyńska
234,Ceglarska
235,Celarowska
236,Celna
237,Cementowa
238,Centkiewiczów
239,Centralna
240,Chłodna
241,Chłopska
242,Chałubińskiego
243,Chabrowa
244,Chęcińska
245,Chełmska
246,Chlebiczna
247,Chlebowa
248,Chmieleniec
249,Chmielna
250,Chmurna
251,Chochołowska
252,Chocimska
253,Chojnicka
254,Chopina
255,Chorzowska
